Transaction ID,Book ID,Checkout Date,Return Date
1,5,2020-08-29,2020-09-04
2,13,2020-12-23,2021-01-15
3,3,2020-09-14,2020-10-22
4,4,2020-03-12,2020-03-27
5,13,2020-05-14,2020-05-19
6,15,2020-08-26,2020-09-03
7,7,2021-02-25,2021-02-28
8,1,2020-06-11,2020-07-11
9,18,2020-09-13,2020-09-19
10,8,2021-07-03,2021-07-18
11,2,2021-04-23,2021-06-15
12,5,2020-02-10,2020-02-17
13,12,2021-01-13,2021-01-19
14,2,2020-12-16,2020-12-31
15,7,2021-07-06,2021-07-21
16,8,2021-05-05,2021-05-19
17,17,2021-06-17,2021-06-18
18,1,2021-03-16,2021-03-22
19,10,2020-08-08,2020-09-01
20,14,2021-07-19,2021-07-22
21,5,2020-06-06,2020-06-09
22,3,2021-01-17,2021-02-11
23,1,2020-07-23,2020-07-29
24,20,2020-01-30,2020-02-14
25,11,2021-07-12,2021-07-19
26,1,2021-02-23,2021-03-21
27,11,2020-04-26,2020-05-02
28,12,2021-03-28,2021-04-16
29,3,2020-04-26,2020-05-01
30,4,2020-04-29,2020-05-07
31,11,2020-03-19,2020-04-02
32,16,2021-01-28,2021-02-02
33,13,2020-12-02,2020-12-12
34,4,2021-07-13,2021-07-19
35,4,2020-03-20,2020-03-22
36,5,2020-11-01,2020-11-11
37,14,2020-12-21,2020-12-29
38,5,2021-06-15,2021-06-22
39,5,2020-11-18,2020-12-02
40,5,2020-06-13,2020-06-21
41,11,2020-11-09,2020-11-13
42,14,2020-10-06,2020-10-14
43,11,2020-01-10,2020-01-29
44,19,2021-01-31,2021-02-20
45,12,2020-11-05,2020-11-29
46,2,2020-11-15,2020-11-19
47,4,2020-10-01,2020-10-13
48,12,2021-08-04,2021-08-06
49,17,2020-02-16,2020-02-21
50,11,2021-08-03,2021-08-07
51,6,2021-08-17,2021-08-22
52,20,2020-07-02,2020-07-06
53,18,2020-12-31,2021-01-09
54,18,2020-09-28,2020-10-03
55,4,2021-06-01,2021-06-08
56,3,2021-01-12,2021-01-19
57,8,2021-09-28,2021-09-30
58,18,2021-09-28,2021-10-28
59,15,2020-02-18,2020-03-04
60,4,2020-01-22,2020-02-07
61,12,2021-04-12,2021-04-19
62,16,2020-06-20,2020-06-21
63,6,2020-07-01,2020-07-09
64,12,2021-03-27,2021-03-30
65,2,2021-07-25,2021-08-01
66,15,2021-09-18,2021-09-24
67,9,2021-05-10,2021-05-16
68,2,2021-09-04,2021-09-19
69,16,2020-02-06,2020-04-04
70,13,2021-05-19,2021-05-21
71,6,2020-07-31,2020-08-09
72,16,2020-09-21,2020-09-25
73,3,2020-07-22,2020-08-01
74,2,2020-03-12,2020-03-22
75,8,2021-05-28,2021-05-29
76,17,2020-01-29,2020-02-04
77,19,2020-12-20,2020-12-27
78,12,2020-02-19,2020-03-03
79,20,2020-08-16,2020-08-20
80,17,2021-09-23,2021-09-25
81,14,2020-10-03,2020-10-13
82,9,2020-07-24,2020-07-29
83,13,2021-09-02,2021-09-10
84,12,2021-03-03,2021-03-10
85,3,2021-04-07,2021-04-10
86,15,2020-04-28,2020-04-30
87,8,2021-08-03,2021-08-10
88,10,2021-07-30,2021-08-03
89,12,2020-11-20,2020-12-02
90,4,2020-04-17,2020-04-19
91,14,2020-11-20,2020-11-29
92,17,2020-02-02,2020-02-10
93,1,2021-02-08,2021-02-10
94,5,2020-05-23,2020-05-29
95,17,2021-09-15,2021-09-18
96,14,2020-08-27,2020-08-30
97,9,2020-08-04,2020-08-13
98,3,2020-02-28,2020-03-04
99,4,2020-02-20,2020-02-23
100,9,2020-07-05,2020-07-12
101,9,2020-04-08,2020-04-10
102,7,2020-06-11,2020-06-19
103,15,2021-05-14,2021-05-18
104,7,2020-02-25,2020-02-27
105,6,2020-04-14,2020-04-16
106,4,2020-06-08,2020-06-18
107,13,2020-04-23,2020-05-01
108,12,2020-06-20,2020-06-25
109,16,2021-08-13,2021-08-19
110,12,2020-06-07,2020-06-09
111,19,2020-10-10,2020-10-13
112,8,2021-02-08,2021-02-10
113,3,2021-08-22,2021-08-29
114,3,2021-06-14,2021-06-16
115,4,2021-09-18,2021-09-29
116,18,2020-03-01,2020-03-22
117,12,2021-07-21,2021-07-28
118,9,2020-08-31,2020-09-10
119,17,2020-03-09,2020-03-13
120,6,2021-02-17,2021-02-24
121,4,2021-06-01,2021-06-11
122,6,2020-11-29,2020-12-02
123,13,2020-07-30,2020-08-03
124,19,2021-03-25,2021-04-01
125,12,2021-04-25,2021-05-13
126,16,2020-05-12,2020-05-18
127,16,2021-07-26,2021-07-29
128,6,2021-07-07,2021-07-18
129,13,2020-09-09,2020-09-11
130,4,2021-04-29,2021-05-06
131,8,2021-01-10,2021-01-13
132,6,2020-04-19,2020-05-01
133,9,2021-02-08,2021-02-15
134,15,2020-10-11,2020-10-20
135,15,2020-12-01,2020-12-04
136,16,2021-06-06,2021-06-12
137,13,2021-05-04,2021-05-08
138,6,2021-08-08,2021-08-18
139,13,2020-03-29,2020-04-04
140,13,2020-07-29,2020-08-03
141,1,2021-07-18,2021-08-18
142,4,2021-07-12,2021-07-19
143,20,2021-08-30,2021-09-14
144,16,2020-09-07,2020-09-13
145,10,2020-12-31,2021-01-18
146,16,2020-11-05,2020-11-22
147,13,2021-09-13,2021-09-16
148,11,2021-01-29,2021-02-04
149,16,2020-07-10,2020-07-19
150,4,2020-05-15,2020-05-28
151,1,2021-10-22,
152,4,2021-10-20,
153,6,2021-10-10,
154,8,2021-10-16,
155,9,2021-10-01,
156,13,2021-10-24,
157,14,2021-10-09,
158,16,2021-10-19,
159,18,2021-10-17,
